content,label
"pinli 旗舰店 品立 官方 全面 招募 微商 合伙人 立刻 添加 WECHAT 或 pinli 最强 搭配 NAME 与 营销 团队 助您 成为 时尚 先生 
",AD_Retail
"丝芙兰 亲爱 的 会员 DIGIT 任意 购物 双倍 积分 您 还 需要 累积 DIGIT 分升 为 PLACE 升级 成功 享受 DIGIT 前 折 购物 特权 回 td 退订 
",AD_Retail
"瓦店 幸福 家园 腊月 盛大 开盘 层 电梯 花园 洋房 DIGIT 万起 开盘 当天 有 精美 礼品 赠送 另 招 售楼 人员 名 抢 房 热线 PHONE 
",AD_Real_estate
"亲 您 在 购物 中 良好 記录 及 好 評请 您 来 帮 旗舰店 刷 單 不限 地点 无 费用 用 手機 即可 一天 DIGIT 起 多劳多得 詳细 QQ 
",AD_Other
"购买 g NAME 品 手机 快快 拨打 DIGIT 中国移动 销售 专线 正式 开通 啦 提供 NAME 终端 套餐 换卡 一站式 销售 服务 赶快 免费 拨打 体验 吧 
",AD_Network_service
"新茶 到 欢迎 新 老客户 莞式 全套 同城约 炮 WECHAT 
",IL_Escort_service
"尊敬 的 用户 您 的 工行 网银 积分 已 可兑换 人民币 DIGIT 元 请 登录 我行 URL 领取 感谢您 对 工行 的 支持 工商银行 
",FR_Phishing(Bank)
"和 PLACE 您好 您 在 PLACE 国际 URL 的 会员 账号 hx 密码 hx00 取款 密码 DIGIT 还有 元 余额 请登入 使用 
",IL_Gambling
"米 折 你 的 DIGIT 元 掉 了 请速 来 认领 URLqa 双 千万 爆款 元 等 你 抢满 DIGIT 返 DIGIT 不要 停 退订 回 t 
",AD_Retail
"领略 春天 的 韵味 聆听 羊年 的 歌声 畅享 未羊 的 美景 看视 吉年 的 画卷 品尝 羊肉 的 鲜味 感受 喜羊 的 PLACE 传送 羊年 的 喜悦 愿 你 享受 羊 福气 
",Other
"尊敬 的 CELLPHONE 用户 中国联通 NAME 提示 您 有 g 专属 流量 NAME 话费 尚未 领取 小时 内 有效 请 尽快 点击 领取 URL 
",FR_Phishing(Other)
"从 二零零四年 底 海外 大 纪元 时报 发表 了 系列 社论 九评 共产党 传播速度 之 快 使 中共 惊恐 不已 多次 下达 内部 文件 严禁 传播 却 一直 不敢 提 九评 共产党 这 几个 字 九评 从 历史 政治经济 信仰 等 各个 层面 深刻 揭示 了 中共 的 欺骗 暴力 邪教 和 流氓 本性 出版 了 PLACE 英法 等 二十多种 语言 版本 截止 今年 一月 引发 了 二亿 二千 多万 PLACE 人 退出 了 党 团队 组织 包括 许多 中共 高级官员 用 化名 或 小名 三 退 您 可以 用 翻墙 软件 到 大 纪元 的 退党 网站 追踪 查看 三 退 电话 DIGIT CELLPHONE 如 提示 空 号 不要 挂机 很快 就 能 接通 NAME 您 平安 幸福 
",IL_Political_propaganda
"嗨 DIGIT 号 彩票网 五周年 庆 NAME 您 充 DIGIT 元 即 送 倍 流水 即可 取款 网址 URL 凭 手机号 联系 在线 客服 申请 ja 
",IL_Gambling
"我们 都 不 多 说 因为 NAME 都 知道 tf 的 好 URL 本周 反 最 多 bbin 糖果 派对 精选 PHONE 
",IL_Gambling
"NAME BANK 邮政 
",FR_Other
"尊敬 的 用户 您 的 网银 密码 器 将 今日 失效 过期 请 及时 登入 我行 手机网 URL 在线 激活 给 您 带来 不变 敬请 谅解 工商银行 
",FR_Phishing(Bank)
"元旦 流量 大 优惠 gb 流量 仅 需 DIGIT 元 有效期 月 日 DIGIT 时 月 日 时 g 全国 通用 点击 链接 URL 立即 办理 查 流量 用 掌厅 不用 再 跑 营业厅 登录 掌厅 客户端 也 可 办理 元旦 优惠 流量 包 各 大 app 应用 市场 搜索 PLACE 移动 掌上 营业厅 或 点击 URL 下载安装 
",AD_Network_service
"PLACE 移动 NAME 提醒 尊敬 的 客户 您 办理 的 飞享 套餐 存 DIGIT 得 DIGIT 元 话费 活动 已 到期 感谢您 的 参与 回复 rdhd 获取 当期 其他 热点 活动 
",AD_Network_service
"尊敬 建行 用户 您 的 账户 积分 DIGIT 分 即将 到期 将 于 小时 后 清零 请 登录 我行 网址 URL 兑换 DIGIT 元 现金 建设银行 
",FR_Phishing(Bank)
"PLACE 联通 羊 年 福 到 礼 到 送 你 DIGIT 新年 必备 来 电铃 炫铃 点击 免费 领取 URL NAME 音乐 
",AD_Network_service
"哈 囉 URL 注册 送存 送 mg 电子 传奇 电子 jdb 电子 pt 电子 捕鱼 等 电子 应有尽有 欢迎 来 爆 DIGIT id 
",IL_Gambling
"尊敬 的 网银 用户 您 的 工银 密码 器 将 于 次日 失效 请 立即 登入 我行 网址 URL 进行 升级 给 您 带来 的 不便 敬请 谅解 工商银行 
",FR_Phishing(Bank)
"周年 庆 倒计时 不买 等 一年 DIGIT 元 个 奇异果 你 独享 优惠券 最高 立 减 DIGIT 元 赠品 装满 购物车 URLenstp 退订 回 td 天天 果园 
",AD_Retail
"天猫 亲老 NAME 加 WECHAT 即可 领走 DIGIT 块钱 的 精美 手表 一个 绝对 真实 先 到 先得 发顺 丰块 递 退订 回 n 
",AD_Retail
"BANK 核对 了 没错 
",FR_Other
"中国电信 父亲节 晒 萌 娃 老爸 照片 最高 赢取 元 现金 oppo 全 网通 手机 活动 奖品 总价 元 七 大 奖项 DIGIT 个 奖励 名额 参与 并 投票 就 有奖 详情 关注 PLACE 电信 官方 WECHAT 照片 提交 发邮件 至 URL 详询 HOTLINE 
",AD_Network_service
"天猫 双 倒计时 水星 家纺 床品 DIGIT 到点 分 分钟 免单 前 一 小时 买免 前 秒 买免 抢 URL 退订 
",AD_Retail
"春水 堂 双 十万 盒 套套 DIGIT 元 小时 秒 完 震动 棒 飞机 杯 折起 领券 满 DIGIT 减 DIGIT 送 日晚 NAME URLkkxts 退订 
",AD_Retail
"海棠 大厦 二十五 周年 庆 即日起 您 的 会员卡 折扣 将 享受 免费 升级 活动 PLACE 折 原价 元 房间 折 后 只 需 元 主 商务 PLACE DIGIT 折 原价 元 标间 折 后 只 需 DIGIT 元 垂询 电话 CELLPHONE 小 NAME PLACE 海棠 国际 酒店 集团 
",AD_Retail
"一起 NAME 理财 特权 尊敬 的 用户 PLACE 联通 一起 NAME 理财 功能 正式 上线 联通 用户 登陆 一起 NAME 客户端 可 免费 领取 万元 理财 特权 本金 享 高额 现金 收益 先 到 先 得 赶快 来 体验 吧 客户端 下载 地址 URL PLACE 联通 
",AD_Network_service
